sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8
60,68,53,58,86,73,29,42
18,6,95,1,20,46,30,24
6,71,83,76,65,93,82,63
77,98,87,64,90,21,58,24
17,5,55,94,9,13,83,21
37,47,65,56,75,23,30,88
81,59,4,87,90,65,2,82
58,67,57,8,77,34,87,73
35,81,59,40,53,39,80,75
50,43,34,73,43,98,27,73
12,89,23,25,50,45,41,84
18,4,88,63,99,17,50,40
46,18,70,84,90,10,93,40
34,65,45,31,63,50,29,82
19,90,65,10,48,1,72,23
14,4,75,21,66,54,31,86
71,45,56,57,67,98,61,8
22,41,19,74,35,14,70,73
49,52,99,50,67,35,24,54
82,37,86,28,87,78,60,27
87,87,21,64,57,90,71,89
99,65,68,32,28,38,74,79
43,17,52,54,53,68,57,26
39,20,12,26,42,7,55,98
8,11,89,98,2,16,66,46
92,26,4,71,2,79,82,40
93,94,8,68,17,52,38,40
95,40,86,81,39,2,99,97
13,87,87,93,68,57,53,48
0,93,95,22,35,85,31,96
55,12,68,52,92,10,17,10
30,16,75,62,49,10,88,88
95,65,88,77,88,4,99,56
11,34,72,82,35,58,67,57
6,21,33,73,55,28,3,56
57,97,7,90,94,68,31,4
98,63,38,38,17,89,9,27
52,25,73,43,73,24,80,27
49,35,85,70,79,78,51,24
8,32,30,77,17,91,29,86
24,92,45,51,92,2,52,52
33,2,25,30,19,38,84,87
27,38,41,84,30,70,79,97
12,3,68,40,77,97,29,75
16,36,12,64,75,54,30,88
3,32,8,90,24,36,23,56
91,35,68,19,14,77,99,59
46,83,97,73,14,45,69,22
96,67,85,87,5,58,22,62
24,83,20,12,86,1,75,30
44,74,3,35,90,48,45,80
97,19,31,78,11,99,49,73
91,96,12,78,1,78,17,62
82,35,94,11,17,37,71,25
48,4,2,47,60,70,95,60
93,66,38,45,33,55,9,22
2,64,93,6,48,24,34,59
41,24,50,94,48,41,86,96
2,75,11,32,24,52,79,91
16,68,9,12,28,45,40,76
78,99,72,59,36,48,21,35
32,4,4,64,13,72,97,53
10,63,78,98,81,42,75,67
59,86,93,9,47,87,80,66
50,79,77,85,93,53,87,52
19,43,94,70,34,54,72,64
55,88,26,1,3,28,57,66
93,46,35,91,30,63,78,38
57,79,83,20,67,37,30,22
15,8,15,45,70,29,97,57
83,82,21,62,70,18,80,92
34,17,29,49,87,25,95,78
55,41,23,17,8,49,87,31
9,56,85,90,57,66,25,70
26,49,69,48,48,18,60,60
3,16,49,52,73,90,15,21
58,35,84,67,79,72,96,26
91,65,17,45,97,81,63,29
75,66,69,75,55,30,78,94
45,33,52,5,12,66,74,91
52,84,99,73,42,23,45,40
16,35,27,96,65,83,13,77
88,33,26,58,99,80,0,53
68,22,3,59,46,1,46,17
2,93,74,10,95,64,52,66
28,6,39,25,2,6,91,75
66,72,46,33,12,32,76,41
98,40,46,9,24,13,89,37
95,69,58,64,87,82,10,80
1,66,40,76,77,14,19,97
74,73,14,7,60,96,72,20
12,70,96,70,50,60,59,57
22,46,47,24,81,11,29,40
70,23,92,0,82,71,60,8
43,73,35,5,9,72,44,19
64,67,54,32,5,44,82,57
43,90,76,71,21,78,69,0
13,89,14,50,35,7,9,31
17,87,24,6,74,95,54,88
40,68,61,15,37,60,65,8
63,45,79,31,11,98,27,54
97,55,88,20,33,41,59,47
43,20,45,51,24,30,47,52
40,78,56,87,59,59,52,85
2,59,5,11,84,57,48,86
10,58,38,81,99,29,25,81
54,29,29,70,96,49,19,37
25,92,58,35,93,56,2,27
65,65,13,87,60,90,65,95
30,66,7,85,74,36,80,27
57,97,60,24,47,11,27,6
60,35,23,67,79,65,8,43
25,63,79,28,90,56,73,72
67,45,94,76,94,90,95,74
49,90,35,38,93,24,30,95
23,77,32,85,49,17,17,60
92,10,5,52,93,96,92,61
64,76,36,2,46,76,89,51
64,86,39,86,44,31,89,95
9,43,43,79,9,59,12,42
13,64,81,87,92,29,8,88
62,44,15,50,56,70,5,23
23,4,82,24,75,65,14,26
22,64,85,18,23,40,35,85
27,13,64,26,39,73,78,2
39,43,67,33,3,70,64,38
56,55,34,15,95,96,68,2
82,0,63,66,31,3,69,19
52,29,20,5,17,53,1,99
22,86,68,62,49,69,23,85
6,91,37,45,94,98,3,68
69,15,60,85,18,43,86,93
79,62,9,61,14,73,62,92
58,47,75,8,61,41,62,98
13,19,78,77,38,97,98,37
39,37,96,96,6,38,16,72
73,65,46,88,25,1,2,7
76,68,64,23,75,14,41,93
72,98,4,65,63,90,23,70
63,49,4,48,29,77,42,50
43,11,12,65,89,33,0,56
25,18,11,52,78,83,14,44
34,62,46,88,40,16,34,77
14,25,8,49,32,30,46,56
71,3,68,16,5,32,28,48
56,86,58,12,22,92,17,89
66,10,55,27,29,24,75,65
74,51,81,70,57,65,31,23
40,24,1,65,86,77,64,47
14,13,97,15,38,92,71,10
71,21,7,75,61,87,55,95
21,67,97,61,47,9,34,94
33,71,49,39,81,93,62,42
89,52,28,40,72,18,42,32
72,38,73,99,18,47,84,68
36,97,39,6,36,5,75,20
38,12,57,60,57,69,55,99
26,49,96,59,12,36,96,32
16,21,89,70,46,99,71,14
35,11,73,84,77,47,56,90
83,73,94,59,6,85,17,73
35,26,39,85,27,32,70,3
84,90,16,63,96,88,26,84
91,44,50,56,44,55,56,86
33,71,24,7,50,1,4,61
87,92,98,25,63,15,99,63
1,4,68,80,39,60,15,47
98,67,37,71,59,27,84,16
1,48,58,37,64,12,18,90
1,97,42,79,24,97,23,47
11,1,36,88,96,32,52,55
5,11,1,50,20,57,91,68
74,31,66,74,55,8,14,2
7,78,50,44,15,20,77,16
50,12,19,60,18,39,50,26
38,67,37,89,68,2,84,61
75,59,20,55,87,87,64,70
54,79,46,6,90,90,39,71
40,83,38,55,48,20,3,34
66,99,51,26,59,55,6,17
56,1,50,13,99,75,30,77
64,75,84,54,97,3,19,56
42,3,74,39,75,88,67,98
2,24,76,17,7,27,14,73
33,59,7,47,97,56,29,39
40,1,92,10,27,29,67,71
24,6,72,33,11,35,53,9
19,94,52,10,85,80,55,0
30,85,22,58,32,48,19,84
78,31,14,13,71,95,33,19
37,93,17,20,90,49,71,1
45,83,22,4,23,25,99,46
10,18,6,77,5,60,32,54
86,68,17,82,83,51,24,90
51,37,1,79,34,9,77,75
60,15,31,50,60,74,83,75
21,56,60,98,14,57,20,95
90,61,48,97,42,60,95,98
72,82,3,46,45,91,8,61
61,16,44,32,49,61,25,1
28,8,7,61,61,31,79,84
5,23,14,96,5,70,24,37
11,76,62,76,77,5,17,24
22,13,3,70,99,49,28,91
61,99,39,76,86,33,16,44
43,66,59,5,54,46,83,31
49,88,49,17,84,90,51,4
45,91,14,93,88,42,25,38
11,33,26,59,68,48,90,93
8,13,8,72,2,63,97,55
35,10,2,41,41,54,71,21
30,82,74,33,54,30,59,82
72,52,54,69,93,87,33,57
0,72,10,30,24,82,53,26
42,5,36,29,85,93,37,40
73,38,30,24,29,38,63,81
32,42,51,59,11,69,73,68
10,75,95,83,56,92,94,95
49,54,65,95,87,47,16,90
48,37,95,85,56,67,29,98
96,14,88,59,20,43,14,22
75,74,32,53,84,13,15,96
95,86,36,7,71,87,83,14
80,32,1,51,81,11,37,7
37,24,12,80,59,17,61,89
79,72,20,99,38,10,44,11
28,55,94,22,7,42,48,4
91,71,32,2,19,81,88,56
25,23,40,20,96,77,77,90
51,33,94,96,20,44,52,5
45,96,55,36,21,37,85,49
53,48,8,60,15,24,99,12
65,87,43,14,55,48,17,1
87,57,20,54,67,8,84,97
35,97,44,46,29,8,18,27
0,52,95,4,31,91,23,51
35,94,18,30,73,52,31,60
58,29,55,56,81,29,52,62
24,95,15,73,38,47,65,85
59,28,40,21,63,66,44,77
26,31,16,91,7,18,80,72
29,13,60,78,20,85,69,53
79,47,22,49,77,31,89,4
94,51,39,93,66,7,53,1
53,64,95,23,56,93,66,42
94,54,90,74,42,97,89,21
41,5,47,25,22,79,80,60
99,65,0,33,71,59,14,21
69,5,20,90,89,11,51,41
85,67,93,24,46,5,24,38
64,59,85,28,74,34,4,8
4,39,76,65,14,57,84,66
9,41,3,73,83,43,49,94
36,71,62,2,10,15,34,30
43,20,42,81,24,73,33,10
57,76,15,48,47,94,90,57
2,99,99,15,8,5,4,37
67,79,93,87,79,88,7,4
94,9,82,77,24,13,11,56
48,26,66,9,31,86,50,15
24,66,46,48,82,74,6,98
17,96,58,59,60,0,54,89
4,53,96,68,73,90,59,66
38,46,90,36,55,29,77,38
23,52,53,12,79,0,40,3
13,79,12,77,7,6,19,41
87,57,83,49,25,6,30,36
76,96,74,71,84,70,44,79
95,79,36,96,82,27,53,54
40,16,96,17,54,58,52,25
67,71,32,66,92,37,33,48
7,8,53,41,43,62,66,56
80,3,59,78,45,71,52,67
7,18,4,61,66,15,40,52
72,3,56,2,45,11,98,80
64,72,71,97,55,44,66,58
10,29,81,34,99,62,50,80
31,74,32,75,90,96,90,85
47,76,34,36,45,86,3,51
83,30,39,87,99,89,77,55
0,73,28,60,83,58,33,82
92,21,86,4,5,87,20,50
88,51,10,23,14,97,22,29
61,8,9,16,82,6,76,15
45,50,45,37,9,73,65,23
85,85,66,20,36,15,37,95
40,19,40,62,87,53,24,33
67,70,53,83,35,49,91,57
21,84,59,59,21,79,21,25
1,85,65,87,71,71,10,76
90,85,18,82,19,92,95,16
66,37,74,15,38,43,36,66
21,87,1,69,33,73,22,95
95,22,56,31,10,82,63,10
87,99,12,97,22,87,3,5
33,21,33,31,38,66,64,41
52,39,54,62,45,27,26,42
90,46,97,28,13,85,23,61
26,3,73,18,80,45,60,5
40,40,20,7,35,58,5,69
38,73,58,80,24,84,52,38
78,53,18,10,52,58,66,91
31,35,60,40,57,14,91,37
6,58,21,22,44,46,27,92
20,79,16,53,40,20,60,48
46,30,11,95,45,12,39,71
71,37,69,39,18,85,94,31
24,54,73,36,24,81,72,74
62,77,58,2,39,89,86,18
31,28,84,27,96,26,15,20
56,13,20,81,61,42,4,73
87,67,67,43,37,20,85,53
98,36,42,90,34,27,54,36
30,15,50,0,95,33,49,86
60,89,60,6,15,2,55,84
40,99,37,15,9,0,71,90
42,44,71,83,46,89,38,8
27,74,83,11,73,69,63,32
77,77,71,58,36,9,52,9
37,62,73,39,25,47,82,20
82,17,87,36,63,30,62,34
39,14,10,82,67,2,95,8
1,24,19,17,13,45,16,38
60,96,33,97,59,42,66,12
44,59,74,90,16,86,92,63
2,97,99,75,87,30,45,68
3,1,67,85,28,28,53,66
13,49,0,32,36,65,18,18
63,1,66,50,14,85,54,27
